Price,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,1455.219970703125,17369.630859375,4131.14990234375,833.8900146484375,,24.209999084472656,0.0,0.0,0.0,0.0,,0.0,1478.0,17426.16015625,4192.18994140625,834.2999877929688,,26.149999618530273,1438.3599853515625,17057.69921875,3989.7099609375,812.97998046875,,23.979999542236328,1469.25,17057.69921875,4186.18994140625,812.97998046875,,24.360000610351562,0.0,0.0,0.0,0.0,,0.0,931800000.0,0.0,1510070000.0,102270200.0,,0.0
2000-01-04,1399.4200439453125,17072.8203125,3901.68994140625,832.7999877929688,19002.859375,27.010000228881836,0.0,0.0,0.0,0.0,0.0,0.0,1455.219970703125,17303.0,4073.25,837.6599731445312,19187.609375,27.18000030517578,1397.4300537109375,16933.51953125,3898.22998046875,829.760009765625,18937.44921875,24.799999237060547,1455.219970703125,17303.0,4020.0,834.8099975585938,18937.44921875,24.940000534057617,0.0,0.0,0.0,0.0,0.0,0.0,1009000000.0,0.0,1511840000.0,106415400.0,0.0,0.0
2000-01-05,1402.1099853515625,15846.7197265625,3877.5400390625,815.7999877929688,18542.55078125,26.40999984741211,0.0,0.0,0.0,0.0,0.0,0.0,1413.27001953125,16608.55078125,3924.2099609375,823.8800048828125,19003.509765625,29.0,1377.6800537109375,15688.490234375,3734.8701171875,808.4000244140625,18221.8203125,25.850000381469727,1399.4200439453125,16608.55078125,3854.35009765625,818.9500122070312,19003.509765625,27.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,1085500000.0,0.0,1735670000.0,93541000.0,0.0,0.0
2000-01-06,1403.449951171875,15153.23046875,3727.1298828125,818.4299926757812,18168.26953125,25.729999542236328,0.0,0.0,0.0,0.0,0.0,0.0,1411.9000244140625,15971.0302734375,3868.760009765625,826.6199951171875,18582.740234375,26.709999084472656,1392.0999755859375,14763.9697265625,3715.6201171875,811.6199951171875,18168.26953125,24.700000762939453,1402.1099853515625,15942.0703125,3834.43994140625,818.4099731445312,18574.009765625,26.68000030517578,0.0,0.0,0.0,0.0,0.0,0.0,1092300000.0,0.0,1598320000.0,85628800.0,0.0,0.0
2000-01-07,1441.469970703125,15405.6298828125,3882.6201171875,,18193.41015625,21.719999313354492,0.0,0.0,0.0,,0.0,0.0,1441.469970703125,15513.8896484375,3882.669921875,,18285.73046875,25.170000076293945,1400.72998046875,15108.75,3711.090087890625,,18068.099609375,21.719999313354492,1403.449951171875,15329.33984375,3711.090087890625,,18194.05078125,25.139999389648438,0.0,0.0,0.0,,0.0,0.0,1225200000.0,0.0,1634930000.0,,0.0,0.0
2000-01-10,1457.5999755859375,15848.150390625,4049.669921875,,,21.709999084472656,0.0,0.0,0.0,,,0.0,1464.3599853515625,16065.08984375,4072.360107421875,,,22.489999771118164,1441.469970703125,15631.0,3958.830078125,,,21.360000610351562,1441.469970703125,15631.0,4002.22998046875,,,21.889999389648438,0.0,0.0,0.0,,,0.0,1064800000.0,0.0,1691710000.0,,,0.0
2000-01-11,1438.56005859375,15862.099609375,3921.18994140625,846.739990234375,18850.919921875,22.5,0.0,0.0,0.0,0.0,0.0,0.0,1458.6600341796875,16196.08984375,4066.659912109375,850.22998046875,18887.560546875,22.6299991607666,1434.4200439453125,15736.169921875,3904.820068359375,831.719970703125,18246.099609375,21.690000534057617,1457.5999755859375,15981.1298828125,4031.3798828125,831.719970703125,18246.099609375,21.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,1014000000.0,0.0,1694460000.0,15265300.0,0.0,0.0
2000-01-12,1432.25,15714.2001953125,3850.02001953125,869.6199951171875,18677.419921875,22.84000015258789,0.0,0.0,0.0,0.0,0.0,0.0,1442.5999755859375,15744.0400390625,3950.97998046875,869.7000122070312,18811.869140625,23.489999771118164,1427.0799560546875,15545.669921875,3834.530029296875,844.7100219726562,18626.919921875,22.40999984741211,1438.56005859375,15691.73046875,3950.949951171875,847.9400024414062,18780.169921875,23.049999237060547,0.0,0.0,0.0,0.0,0.0,0.0,974600000.0,0.0,1525900000.0,15293300.0,0.0,0.0
